Data,Preco_Previsto
2025-05-13,59.82761487066745
2025-05-14,60.58339048027992
2025-05-15,60.41965477168559
2025-05-16,60.52676497995853
2025-05-17,59.43113991618156
2025-05-18,60.57065878510475
2025-05-19,60.977325525879856
2025-05-20,61.125564575195305
2025-05-21,60.74948123097419
2025-05-22,61.46408379226923
2025-05-23,61.21418006718158
2025-05-24,61.73945894539356
2025-05-25,61.4891252040863
2025-05-26,62.0346952214837
2025-05-27,61.70987222194671
2025-05-28,62.00909117162227
2025-05-29,62.53113889992237
2025-05-30,62.23679882586002
2025-05-31,62.557092589139934
2025-06-01,63.39313253462314
2025-06-02,63.54394364356994
2025-06-03,63.723883327841754
2025-06-04,63.3438213288784
2025-06-05,63.923547494411466
2025-06-06,63.77652615457773
2025-06-07,63.569519561529155
2025-06-08,63.794815909862514
2025-06-09,63.81687132120132
2025-06-10,64.05613716840743
2025-06-11,64.30847631245851
